id_armada,nama_armada,tujuan_armada,jam,harga,Seat
DMR01,DAMRI JAKARTA,Kemayoran,17.00,Rp155.000,45
DMR02,DAMRI JAKARTA,Klari (Karawang),17.00,Rp155.000,45
DMR03,DAMRI JAKARTA,Kampung Rambutan,17.00,Rp155.000,45
DMR04,DAMRI JAKARTA,Grogol,17.00,Rp155.000,45
DMR05,DAMRI JAKARTA,Kalideres,17.00,Rp155.000,45
DMR06,DAMRI JAKARTA,Poris,17.00,Rp155.000,45
DMR07,DAMRI JAKARTA,Bitung,17.00,Rp155.000,45
DMR08,DAMRI JAKARTA,Kemayoran,18.00,Rp155.000,45
DMR09,DAMRI JAKARTA,Klari (Karawang),18.00,Rp155.000,45
DMR10,DAMRI JAKARTA,Kampung Rambutan,18.00,Rp155.000,45
DMR11,DAMRI JAKARTA,Grogol,18.00,Rp155.000,45
DMR12,DAMRI JAKARTA,Kalideres,18.00,Rp155.000,45
DMR13,DAMRI JAKARTA,Poris,18.00,Rp155.000,45
DMR14,DAMRI JAKARTA,Bitung,18.00,Rp155.000,45
DMR15,DAMRI JAKARTA,Kemayoran,18.00,Rp155.000,45
DMRS01,DAMRI SUMATRA,Lampung,14.00,Rp450.000,45
DMRS02,DAMRI SUMATRA,Metro (Lampung),14.00,Rp500.000,45
DMRS03,DAMRI SUMATRA,Palembang,14.00,Rp550.000,45
EST01,ESTU TRANS,Gamping,08.30,Rp140.000,20
EST02,ESTU TRANS,Giwangan,08.30,Rp140.000,20
EST03,ESTU TRANS,Purworejo,08.30,Rp140.000,20
EST04,ESTU TRANS,Kebumen,08.30,Rp120.000,20
EST05,ESTU TRANS,Bandara YIA,08.30,Rp175.000,20
EST06,ESTU TRANS,Gamping,20.00,Rp140.000,20
EST07,ESTU TRANS,Giwangan,20.00,Rp140.000,20
EST08,ESTU TRANS,Purworejo,20.00,Rp140.000,20
EST09,ESTU TRANS,Kebumen,20.00,Rp120.000,20
EST10,ESTU TRANS,Bandara YIA,20.00,Rp175.000,20
BUS01,BUS JOGJA,Gamping,07.30,Rp150.000,45
BUS02,BUS JOGJA,Giwangan,07.30,Rp150.000,45
BUS03,BUS JOGJA,Purworejo,07.30,Rp150.000,45
BUS04,BUS JOGJA,Kebumen,07.30,Rp130.000,45
BUS05,BUS JOGJA,Gamping,18.30,Rp150.000,45
BUS06,BUS JOGJA,Giwangan,18.30,Rp150.000,45
BUS07,BUS JOGJA,Purworejo,18.30,Rp150.000,45
BUS08,BUS JOGJA,Kebumen,18.30,Rp130.000,45
BEST01,BEST PREMIUM,Kampung Rambutan,05.30,Rp150.000,48
BEST02,BEST PREMIUM,Lebak Bulus,05.30,Rp150.000,48
BEST03,BEST PREMIUM,Kalideres,05.30,Rp150.000,48
BEST04,BEST PREMIUM,Grogol,05.30,Rp150.000,48
BEST05,BEST PREMIUM,Kampung Rambutan,17.00,Rp150.000,48
BEST06,BEST PREMIUM,Lebak Bulus,17.00,Rp150.000,48
BEST07,BEST PREMIUM,Kalideres,17.00,Rp150.000,48
BEST08,BEST PREMIUM,Grogol,17.00,Rp150.000,48
EFI01,EFISIENSI,Kebumen,05.30,Rp120.000,40
EFI02,EFISIENSI,Purworejo,05.30,Rp160.000,40
EFI03,EFISIENSI,Jogja,05.30,Rp160.000,40
EFI04,EFISIENSI,Bandara YIA,05.30,Rp160.000,40
EFI05,EFISIENSI,Semarang,05.30,Rp220.000,40
EFI06,EFISIENSI,Magelang,05.30,Rp220.000,40
EFI07,EFISIENSI,Solo,05.30,Rp210.000,40
EFI08,EFISIENSI,Kudus,05.30,Rp260.000,40
EFI09,EFISIENSI,Jepara,05.30,Rp260.000,40
EFI10,EFISIENSI,Pati,05.30,Rp230.000,40
EFI11,EFISIENSI,Malang,05.30,Rp350.000,40
EFI12,EFISIENSI,Surabaya,05.30,Rp350.000,40
EFI13,EFISIENSI,Kebumen,09.30,Rp120.000,40
EFI14,EFISIENSI,Purworejo,09.30,Rp160.000,40
EFI15,EFISIENSI,Jogja,09.30,Rp160.000,40
EFI16,EFISIENSI,Bandara YIA,09.30,Rp160.000,40
EFI17,EFISIENSI,Semarang,09.30,Rp220.000,40
EFI18,EFISIENSI,Magelang,09.30,Rp220.000,40
EFI19,EFISIENSI,Solo,09.30,Rp210.000,40
EFI20,EFISIENSI,Kudus,09.30,Rp260.000,40
EFI21,EFISIENSI,Jepara,09.30,Rp260.000,40
EFI22,EFISIENSI,Pati,09.30,Rp230.000,40
EFI23,EFISIENSI,Malang,09.30,Rp350.000,40
EFI24,EFISIENSI,Surabaya,09.30,Rp350.000,40
EFI25,EFISIENSI,Kebumen,13.30,Rp120.000,40
EFI26,EFISIENSI,Purworejo,13.30,Rp160.000,40
EFI27,EFISIENSI,Jogja,13.30,Rp160.000,40
EFI28,EFISIENSI,Bandara YIA,13.30,Rp160.000,40
EFI29,EFISIENSI,Semarang,13.30,Rp220.000,40
EFI30,EFISIENSI,Magelang,13.30,Rp220.000,40
EFI31,EFISIENSI,Solo,13.30,Rp210.000,40
EFI32,EFISIENSI,Kudus,13.30,Rp260.000,40
EFI33,EFISIENSI,Jepara,13.30,Rp260.000,40
EFI34,EFISIENSI,Pati,13.30,Rp230.000,40
EFI35,EFISIENSI,Malang,13.30,Rp350.000,40
EFI36,EFISIENSI,Surabaya,13.30,Rp350.000,40
EFI37,EFISIENSI,Kebumen,23.30,Rp120.000,40
EFI38,EFISIENSI,Purworejo,23.30,Rp160.000,40
EFI39,EFISIENSI,Jogja,23.30,Rp160.000,40
EFI40,EFISIENSI,Bandara YIA,23.30,Rp160.000,40
EFI41,EFISIENSI,Semarang,23.30,Rp220.000,40
EFI42,EFISIENSI,Magelang,23.30,Rp220.000,40
EFI43,EFISIENSI,Solo,23.30,Rp210.000,40
EFI44,EFISIENSI,Kudus,23.30,Rp260.000,40
EFI45,EFISIENSI,Jepara,23.30,Rp260.000,40
EFI46,EFISIENSI,Pati,23.30,Rp230.000,40
EFI47,EFISIENSI,Malang,23.30,Rp350.000,40
EFI48,EFISIENSI,Surabaya,23.30,Rp350.000,40
ARD01,ARDY TRANS ,Jakarta,17.00,Rp250.000,20
ARD02,ARDY TRANS ,Depok,17.00,Rp250.000,20
ARD03,ARDY TRANS ,Cikarang,17.00,Rp250.000,20
ARD04,ARDY TRANS ,Bandara Soetta,17.00,Rp300.000,20
ARD05,ARDY TRANS ,Pelabuhan T.Priok,17.00,Rp300.000,20
TJU01,77 TRANS,Magelang,08.00,Rp190.000,20
TJU02,77 TRANS,Wonosobo,08.00,Rp190.000,20
TJU03,77 TRANS,Semarang,08.00,Rp190.000,20
TJU04,77 TRANS,Bandara Ahmad Yani,08.00,Rp240.000,20
TJU05,77 TRANS,Pelabuhan T.Emas,08.00,Rp240.000,20
TJU06,77 TRANS,Magelang,19.30,Rp190.000,20
TJU07,77 TRANS,Wonosobo,19.30,Rp190.000,20
TJU08,77 TRANS,Semarang,19.30,Rp190.000,20
TJU09,77 TRANS,Bandara Ahmad Yani,19.30,Rp240.000,20
TJU10,77 TRANS,Pelabuhan T.Emas,19.30,Rp240.000,20
QYT01,QYTA TRANS,Magelang,08.00,Rp190.000,20
QYT02,QYTA TRANS,Wonosobo,08.00,Rp190.000,20
QYT03,QYTA TRANS,Semarang,08.00,Rp190.000,20
QYT04,QYTA TRANS,Bandara Ahmad Yani,08.00,Rp250.000,20
QYT05,QYTA TRANS,Pelabuhan T.Emas,08.00,Rp250.000,20
QYT06,QYTA TRANS,Magelang,19.30,Rp190.000,20
QYT07,QYTA TRANS,Wonosobo,19.30,Rp190.000,20
QYT08,QYTA TRANS,Semarang,19.30,Rp190.000,20
QYT09,QYTA TRANS,Bandara Ahmad Yani,19.30,Rp250.000,20
QYT10,QYTA TRANS,Pelabuhan T.Emas,19.30,Rp250.000,20
RYA01,RIYAN,Solo,21.00,Rp180.000,48
RYA02,RIYAN,Klaten,21.00,Rp180.000,48
